食品名,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物(単糖当量) g,炭水化物(質量計) g,食物繊維総量 g,食塩相当量 g
＜スナック類＞　小麦粉あられ,472,-7.6,-19.5,-72.9,-66.3,-2.3,-1.8
＜スナック類＞　コーンスナック,516,5.2,27.1,-,-,1,1.2
＜スナック類＞　ポテトチップス　ポテトチップス,541,4.7,35.2,-,-,4.2,1
＜スナック類＞　ポテトチップス　成形ポテトチップス,515,5.8,32,-,-,4.8,0.9
＜キャンデー類＞　かわり玉,392,0,0,-104.4,-99.5,0,0
＜キャンデー類＞　キャラメル,426,4,11.7,-,-,0,0.3
＜キャンデー類＞　ゼリーキャンデー,334,(Tr),0,-88.7,-83.1,-0.9,0
＜キャンデー類＞　ゼリービーンズ,358,(Tr),(Tr),-95,-89.5,-0.9,0
＜キャンデー類＞　ドロップ,389,0,0,-103.8,-98,0,0
＜キャンデー類＞　バタースコッチ,414,(Tr),-6.5,-95.9,-91.1,0,-0.4
＜キャンデー類＞　ブリットル,506,-12.6,-26.5,-55.5,-52.5,-3.6,-0.2
＜キャンデー類＞　マシュマロ,324,-2.1,0,-84.1,-79.3,0,0
＜キャンデー類＞　ラムネ,373,0,0.5,-,-,0,0.2
＜チョコレート類＞　アーモンドチョコレート,562,-11.4,-40.4,-40.1,-38.2,-6.1,-0.1
＜チョコレート類＞　カバーリングチョコレート,488,-7.1,-24.3,-66.4,-62.2,-3.2,-0.3
＜チョコレート類＞　ホワイトチョコレート,588,7.2,39.5,-58.2,-55.4,0.6,0.2
＜チョコレート類＞　ミルクチョコレート,550,6.9,34.1,-59.3,-56.5,3.9,0.2
＜果実菓子類＞　マロングラッセ,303,1.1,0.3,-79.1,-75,-,0.1
＜チューインガム類＞　板ガム,388,0,0,-,-,0,0
＜チューインガム類＞　糖衣ガム,390,0,0,-,-,0,0
＜チューインガム類＞　風船ガム,387,0,0,-,-,0,0
＜その他＞　カスタードクリーム,174,-5.1,-7.6,-26.1,-24.6,-0.2,-0.1
＜その他＞　しるこ　こしあん,211,-4.7,-0.3,-50,-47.1,-3.2,0
＜その他＞　しるこ　つぶしあん,179,-4.2,-0.4,-41,-38.6,-4.3,-0.1
＜その他＞　チョコレートクリーム,481,-4.6,-32,-50.1,-47,-0.6,-0.5
